bin,total_avg,total_sum,total_min,total_max,avg_elapsed,max_elapsed,eval_set,total_cases,label,executed_at
v009_pro_conveyor_beam,6094625,609462516,5900126,6235144,1827,1847,tools/in,100,param:w240_k80_d10_l12,2026-05-16T17:35:11+09:00
v009_pro_conveyor_beam,6282351,628235062,6217860,6335262,1591,1738,tools/in,100,param:w240_k80_d8_l10,2026-05-16T17:38:19+09:00
v011_v008_initial_sa,5955248,595524781,5871971,6024208,549,618,tools/in,100,,2026-05-16T17:42:29+09:00
v009_pro_conveyor_beam,6235728,623572837,5914847,6355202,1770,1832,tools/in,100,param:w240_k80_d8_l14,2026-05-16T17:41:03+09:00
v009-2_wide_beam,6293346,629334581,6036467,6364088,1656,1831,tools/in,100,,2026-05-16T17:45:11+09:00
v012_segment_reconnect_sa,5958662,595866150,5889396,6029382,541,551,tools/in,100,,2026-05-16T17:50:01+09:00
v014_shifted_vh_layout,6262889,626288945,6178665,6324816,434,489,tools/in,100,layout:h4_v4_exit_ro2_co2_vh_vr,2026-05-16T18:34:47+09:00
v014_shifted_vh_layout,6262889,626288945,6178665,6324816,404,512,tools/in,100,layout:h4_v4_exit_ro2_co2_vh_vr_j2,2026-05-16T18:35:08+09:00
v015_uniform_comb,5109101,510910086,22500,6176055,288,475,tools/in,100,comb_V4_H4_alt_bottom,2026-05-16T18:46:42+09:00
v014_shifted_vh_layout,6308621,630862142,6250440,6380221,1024,1139,tools/in,100,,2026-05-16T18:49:15+09:00
v014_shifted_vh_layout,6318199,631819886,6268678,6380221,1148,1293,tools/in,100,v014_param_retune_20260516_185107,2026-05-16T18:51:09+09:00
v014_shifted_vh_layout,6086116,608611593,5901419,6220547,1907,1910,tools/in,100,v014_extra_depth16_j3_20260516_185301,2026-05-16T18:53:01+09:00
v014_shifted_vh_layout,6330809,633080857,6272019,6398969,1491,1652,tools/in,100,v014_extra_depth10_j3_20260516_185451,2026-05-16T18:54:53+09:00
v014_shifted_vh_layout,6330809,633080857,6272019,6398969,1538,1892,tools/in,100,v014_dmax100_j3_20260516_185630,2026-05-16T18:56:32+09:00
v014_shifted_vh_layout,6331675,633167460,6263127,6391683,1660,1855,tools/in,100,v014_beam220_j3_20260516_185838,2026-05-16T18:58:40+09:00
v999_winner_code,7592431,759243053,7567981,7625222,28,46,tools/in,100,winner_code_port,2026-05-16T19:13:44+09:00
v998_t0_zero,3650,365000,0,7500,8,19,tools/in,100,t0_zero,2026-05-18T11:22:16+09:00
