bin,total_avg,total_sum,total_min,total_max,avg_elapsed,max_elapsed,eval_set,total_cases,label,executed_at
v001_pro_baseline_beam1,5953151,595315141,5900557,5991714,246,303,tools/in,100,,2026-05-16T16:04:40+09:00
v002_pro_baseline_beam2,5942421,594242125,5892392,5997233,506,644,tools/in,100,,2026-05-16T16:05:18+09:00
v003_pro_baseline3,5938469,593846911,5863126,5997694,122,148,tools/in,100,,2026-05-16T16:06:15+09:00
v004_pro_baseline_sa,5825290,582529029,5745841,5877049,373,458,tools/in,100,,2026-05-16T16:14:01+09:00
v007_rank_aware_layout,5968217,596821695,5916589,6033156,263,500,tools/in,100,,2026-05-16T16:38:46+09:00
v006_cycle_cover_sa,5929469,592946855,5835265,6028911,1387,2003,tools/in,100,,2026-05-16T16:36:54+09:00
v007_rank_aware_layout,5968217,596821695,5916589,6033156,262,404,tools/in,100,,2026-05-16T16:41:50+09:00
v006_cycle_cover_sa,5932785,593278485,5848921,6023739,1166,1472,tools/in,100,,2026-05-16T16:40:29+09:00
v006_cycle_cover_sa,5945402,594540227,5886833,6004161,816,1138,tools/in,100,disable_search,2026-05-16T16:42:51+09:00
v005_funnel_highway,5704227,570422726,5659449,5745841,556,905,tools/in,100,,2026-05-16T16:45:17+09:00
v006_cycle_cover_sa,5942693,594269341,5851001,6023739,1246,1830,tools/in,100,,2026-05-16T16:45:01+09:00
v006_cycle_cover_sa,5953832,595383213,5886833,6023739,1448,1936,tools/in,100,,2026-05-16T16:48:01+09:00
v006_cycle_cover_sa,5953936,595393586,5534161,6184425,2147,2653,tools/in,100,,2026-05-16T16:52:54+09:00
v006_cycle_cover_sa,5367099,536709913,5286586,5459259,1290,1662,tools/in,100,non_strip_disable_search,2026-05-16T16:56:39+09:00
v006_cycle_cover_sa,5940342,594034179,5531490,6184425,798,1295,tools/in,100,,2026-05-16T16:59:20+09:00
v006_cycle_cover_sa,5953985,595398544,5534161,6184425,863,1383,tools/in,100,,2026-05-16T17:01:00+09:00
v006_cycle_cover_sa,5960091,596009054,5526494,6184425,1084,1582,tools/in,100,,2026-05-16T17:02:41+09:00
v008_fast_ops,5920413,592041330,5838151,6001386,21,31,tools/in,100,,2026-05-16T17:06:32+09:00
v006_cycle_cover_sa,5962573,596257250,5541534,6184425,1307,2226,tools/in,100,,2026-05-16T17:04:41+09:00
v006_cycle_cover_sa,5962763,596276301,5526494,6184425,1170,1623,tools/in,100,,2026-05-16T17:07:07+09:00
v008_fast_ops,5920413,592041330,5838151,6001386,19,28,tools/in,100,,2026-05-16T17:09:37+09:00
v006_cycle_cover_sa,5961944,596194447,5541534,6184425,1242,1661,tools/in,100,,2026-05-16T17:09:23+09:00
v006_cycle_cover_sa,5962560,596255972,5526494,6184425,1168,1816,tools/in,100,,2026-05-16T17:11:54+09:00
v009_pro_conveyor_beam,6230258,623025828,6165661,6305289,371,463,tools/in,100,,2026-05-16T17:15:15+09:00
v009_pro_conveyor_beam,6270915,627091523,6207694,6343440,1119,1331,tools/in,100,param:w160_k80_d8_l12,2026-05-16T17:24:07+09:00
v009_pro_conveyor_beam,6295527,629552733,6247149,6364088,1656,1826,tools/in,100,param:w240_k80_d8_l12,2026-05-16T17:26:03+09:00
v009_pro_conveyor_beam,6032553,603255292,5906602,6156884,1827,1831,tools/in,100,param:w320_k80_d8_l12,2026-05-16T17:28:54+09:00
v010_conveyor_sa,5929122,592912167,5873239,6001386,551,663,tools/in,100,,2026-05-16T17:33:24+09:00
v009_pro_conveyor_beam,6022996,602299646,5724325,6189680,1830,1978,tools/in,100,param:w240_k100_d8_l12,2026-05-16T17:32:03+09:00
