bin,total_avg,total_sum,total_min,total_max,avg_elapsed,max_elapsed,eval_set,total_cases,label,executed_at
v001_baseline,1045842,104584157,925999,1632268,3,13,tools/in,100,,2026-06-21T19:46:29+09:00
v002_bridge_gate,1948965,194896459,925999,2572890,4,9,tools/in,100,,2026-06-21T19:59:58+09:00
v003_many_gates,3112841,311284096,2472488,3925999,7,13,tools/in,100,,2026-06-21T20:17:42+09:00
v101_random_add,6080496,608049582,1263034,7083745,1509,1543,tools/in,100,,2026-06-21T20:20:27+09:00
v102_chineserings_sa,8173132,817313223,925999,10536927,1349,1443,tools/in,100,cxx_port,2026-06-21T20:22:20+09:00
v102_chineserings_sa,8172943,817294286,925999,10536927,1348,1410,tools/in,100,cxx_port,2026-06-21T20:24:11+09:00
v103_long_rouka,4674423,467442332,4321928,5395748,1461,1498,tools/in,100,cpp-port,2026-06-21T20:30:56+09:00
v104_chineserings_hybrid,9073064,907306413,4722466,10804050,1415,1524,tools/in,100,hybrid_parts,2026-06-21T20:52:00+09:00
v104_chineserings_hybrid,9128876,912887586,5439623,10818103,1437,1654,tools/in,100,hybrid_parts_primary_v102,2026-06-21T20:54:03+09:00
v104_chineserings_hybrid,9133928,913392788,5395748,11040290,1425,1561,tools/in,100,hybrid_parts_shared_dist,2026-06-21T20:55:53+09:00
v105_virtual_bridge_no_sa,8014949,801494859,4091700,10434003,260,1407,tools/in,100,no_sa_virtual_cell_cut,2026-06-21T20:57:11+09:00
v105_virtual_bridge_no_sa,8014260,801425955,4091700,10434003,315,1414,tools/in,100,requested_v105_eval,2026-06-21T20:58:45+09:00
v104_chineserings_hybrid,9114322,911432231,5454505,11358596,1422,1557,tools/in,100,hybrid_parts_primary_and_alt,2026-06-21T20:58:12+09:00
v106_virtual_bridge_sa_hybrid,9147840,914783966,5795715,10931624,1415,1556,tools/in,100,requested_v106_sa_v104_hybrid,2026-06-21T21:01:21+09:00
v110_pro4,9889674,988967356,8876824,11161762,1341,2000,tools/in,100,cpp-port,2026-06-21T21:54:39+09:00
v110_pro4,9955245,995524501,8981853,11161762,1300,1387,tools/in,100,cpp-port-rerun,2026-06-21T21:56:12+09:00
v109_trip_cost_sa,9156614,915661414,5424586,10902677,1430,1557,tools/in,100,trip_cost_sa,2026-06-21T22:02:59+09:00
v111,9426005,942600523,5692092,11177420,1352,1557,tools/in,100,submission5-port,2026-06-21T22:07:39+09:00
v112_pro4,10199662,1019966246,8790511,11138400,1379,1518,tools/in,100,score_push_trip_rewire,2026-06-21T22:10:49+09:00
v113_pro4,10180938,1018093824,9066358,11138400,1530,1559,tools/in,100,v111_virtual_wide_rewire,2026-06-21T22:17:30+09:00
v113_pro4,10244254,1024425430,8790511,11138400,1425,1551,tools/in,100,v111_virtual_short_wide_rewire,2026-06-21T22:19:32+09:00
v113_pro4,10252886,1025288608,8790511,11138400,1411,1552,tools/in,100,wide_rewire_no_virtual,2026-06-21T22:21:10+09:00
v113_pro4,10292386,1029238635,8918267,11138400,1431,1552,tools/in,100,wider_rewire_no_virtual,2026-06-21T22:23:01+09:00
v113_pro4,10262950,1026295033,8851437,11183077,1456,1564,tools/in,100,widest_rewire_no_virtual,2026-06-21T22:24:35+09:00
v113_pro4,10270226,1027022643,8918267,11138400,1437,1552,tools/in,100,final_v113_wider_rewire,2026-06-21T22:26:45+09:00
v201_assignment_beam,10162618,1016261839,8790511,11014439,1390,1549,tools/in,100,assignment_beam,2026-06-21T22:28:46+09:00
v202_assignment_beam_wide,10085898,1008589814,8790511,10987086,1411,1557,tools/in,100,assignment_beam_wide_goal,2026-06-21T22:32:04+09:00
v203_pairwise_rescue,10313913,1031391324,8918267,11064002,1447,1554,tools/in,100,pairwise_rescue,2026-06-21T22:42:48+09:00
v203_pairwise_rescue,10335088,1033508794,8918267,11151904,1437,1558,tools/in,100,pairwise_rescue_guarded,2026-06-21T22:45:22+09:00
v204_cpp_permanent_extra,10385424,1038542351,9061506,11040427,1439,1553,tools/in,100,cpp_permanent_extra,2026-06-21T22:49:02+09:00
v301_final,10362146,1036214556,8918267,11142937,1445,1553,tools/in,100,final_perm_mode4,2026-06-21T22:52:55+09:00
v301_final,10356855,1035685483,9061506,11009899,1440,1552,tools/in,100,final_value_beam_mix,2026-06-21T22:55:31+09:00
v301_final,10363572,1036357205,9061506,11135196,1478,1560,tools/in,100,final_deadline_extend,2026-06-21T22:57:27+09:00
v204_cpp_permanent_extra,10376008,1037600790,9061506,11142937,1449,1553,tools/in,100,speed_alt_cutoff,2026-06-21T23:00:22+09:00
v204_cpp_permanent_extra,10389046,1038904625,9061506,11040427,1438,1558,tools/in,100,speed_adj_arrays,2026-06-21T23:02:33+09:00
v204_cpp_permanent_extra,10390539,1039053893,9061506,11151904,1438,1553,tools/in,100,speed_plain_arrays,2026-06-21T23:04:14+09:00
v204_cpp_permanent_extra,10368455,1036845546,9061506,11151904,1446,1590,tools/in,100,speed_all_adj_arrays,2026-06-21T23:06:33+09:00
v204_cpp_permanent_extra,10390131,1039013089,9061506,11151904,1422,1574,tools/in,100,speed_core_arrays_final,2026-06-21T23:08:30+09:00
v901,10882587,1088258657,8942808,11512444,1408,1464,tools/in,100,v901_decoder18_switch9_final_replace_g19,2026-06-23T01:55:48+09:00
v902,10877895,1087789504,8942808,11420013,1450,1580,tools/in,100,v902_mixed_layout_extended_replace,2026-06-23T02:03:53+09:00
v905,11041250,1104124979,7879277,11497777,179,549,tools/in,100,v905_spine_first_reserved_g19_multi_l,2026-06-24T00:21:52+09:00
v906,11521921,1152192075,10168233,12024776,2875,35009,tools/in,100,v906_nested_chamber_full10_g19_final,2026-06-24T00:46:13+09:00
v907,11709701,1170970146,10349005,12127237,1705,7539,tools/in,100,v907_nested_chamber_full10_extra_g19_detour,2026-06-24T00:54:40+09:00
v908,11738087,1173808737,10349005,12167904,1493,1524,tools/in,100,v908_validated_boundary_g19,2026-06-24T01:16:24+09:00
v908,11741212,1174121212,10349005,12167904,1680,1771,tools/in,100,v908_recycle_s0_seals,2026-06-24T01:36:53+09:00
v908,11589399,1158939933,10349005,12151762,1560,1596,tools/in,100,v908_required_s0_seals_simple,2026-06-24T02:07:46+09:00
v908,11584038,1158403844,10349005,12167904,1561,1597,tools/in,100,v908_initial_g19_required_s0,2026-06-24T02:12:32+09:00
v908,11553457,1155345666,10320406,12042395,1567,1610,tools/in,100,v908_actual_route_g19_shortcuts,2026-06-24T02:17:54+09:00
v999_champion,11754622,1175462232,10349005,12167904,1357,1370,tools/in,100,v999_champion_rust_standalone,2026-06-24T02:22:37+09:00
v908,11545650,1154565006,9952668,12118892,1556,1614,tools/in,100,v908_champion_style_g19_corridor,2026-06-24T02:34:14+09:00
v998_simple_champion,11753307,1175330656,10349005,12159856,1397,2558,tools/in,100,v998_remove_dead_old_solvers,2026-06-24T02:40:35+09:00
v998_simple_champion,11743927,1174392736,10349005,12151762,1424,2430,tools/in,100,v998_remove_stats_path_bfs,2026-06-24T02:43:15+09:00
v998_simple_champion,11546898,1154689775,10168233,12024776,1347,1356,tools/in,100,v998_try_remove_g19_improve,2026-06-24T02:45:08+09:00
v998_simple_champion,11720515,1172051485,10349005,12093830,1308,1380,tools/in,100,v998_time_budgeted_phases,2026-06-24T02:52:10+09:00
v998_simple_champion,11710923,1171092322,10349005,12093830,1365,1411,tools/in,100,v998_inner_deadlines_hard193,2026-06-24T02:53:44+09:00
v998_simple_champion,11715749,1171574899,10349005,12093830,1337,1553,tools/in,100,v998_deadline_keep_base_candidates,2026-06-24T02:55:36+09:00
v998_simple_champion,11711217,1171121728,10349005,12093830,1357,1557,tools/in,100,v998_inner_deadlines_hard190,2026-06-24T02:57:24+09:00
v998_simple_champion,11707566,1170756600,10349005,12093830,1397,1795,tools/in,100,v998_deadline_eval24,2026-06-24T02:59:03+09:00
v998_simple_champion,11708156,1170815573,10349005,12093830,1362,1752,tools/in,100,v998_candidate_phase_deadline,2026-06-24T03:01:08+09:00
v998_simple_champion,11712422,1171242194,10349005,12093830,1367,1512,tools/in,100,v998_time_budgeted_final,2026-06-24T03:03:35+09:00
v998_simple_champion,11718400,1171839978,10349005,12093830,1302,1310,tools/in,100,v998_candidate088,2026-06-24T03:05:39+09:00
v998_simple_champion,11720174,1172017408,10349005,12093830,1304,1317,tools/in,100,v998_candidate090,2026-06-24T03:07:00+09:00
v998_simple_champion,11718213,1171821270,10349005,12093830,1302,1311,tools/in,100,v998_candidate091,2026-06-24T03:08:24+09:00
v998_simple_champion,11718630,1171863020,10349005,12093830,1317,1325,tools/in,100,v998_search087_candidate090,2026-06-24T03:09:49+09:00
v997_repro_from_explanation,1163932,116393226,925999,5336283,1250,1258,tools/in,100,repro_from_explanation,2026-06-24T09:25:24+09:00
v997_repro_from_explanation,4529450,452945021,925999,11781667,1255,1273,tools/in,100,repro_from_explanation,2026-06-24T09:31:37+09:00
v997_repro_from_explanation,4667854,466785390,925999,11678138,1265,1329,tools/in,100,repro_from_explanation,2026-06-24T09:34:02+09:00
v996_repro_from_explanation_v2,10770543,1077054287,925999,12110630,1331,1378,tools/in,100,repro_from_explanation_v2,2026-06-24T09:42:51+09:00
v996_repro_from_explanation_v2,11709804,1170980373,10457945,12110630,1336,1385,tools/in,100,repro_from_explanation_v2,2026-06-24T09:44:38+09:00
v996_repro_from_explanation_v2,11709139,1170913854,10457945,12110630,1427,1467,tools/in,100,repro_from_explanation_v2,2026-06-24T09:46:02+09:00
v996_repro_from_explanation_v2,11709804,1170980373,10457945,12110630,1364,1422,tools/in,100,repro_from_explanation_v2,2026-06-24T09:47:42+09:00
v996_repro_from_explanation_v2,11707799,1170779917,10457945,12110630,1375,1456,tools/in,100,repro_from_explanation_v2,2026-06-24T09:49:22+09:00
v996_repro_from_explanation_v2,11713093,1171309318,10457945,12110630,1365,1420,tools/in,100,repro_from_explanation_v2,2026-06-24T09:50:59+09:00
v996_repro_from_explanation_v2,11708127,1170812748,10457945,12110630,1364,1414,tools/in,100,repro_from_explanation_v2,2026-06-24T09:52:26+09:00
v996_repro_from_explanation_v2,11713025,1171302462,10457945,12110630,1425,1492,tools/in,100,repro_from_explanation_v2,2026-06-24T09:54:17+09:00
v996_repro_from_explanation_v2,11713121,1171312081,10457945,12110630,1456,1511,tools/in,100,repro_from_explanation_v2,2026-06-24T09:55:47+09:00
v996_repro_from_explanation_v2,11711816,1171181622,10457945,12110630,1619,1679,tools/in,100,repro_from_explanation_v2,2026-06-24T09:57:24+09:00
v996_repro_from_explanation_v2,11570322,1157032169,10291228,12051124,1555,1603,tools/in,100,repro_from_explanation_v2,2026-06-24T09:59:09+09:00
v996_repro_from_explanation_v2,11719807,1171980693,10457945,12110630,1489,1558,tools/in,100,repro_from_explanation_v2,2026-06-24T10:00:44+09:00
v996_repro_from_explanation_v2,11723698,1172369804,10457945,12110630,1506,1575,tools/in,100,repro_from_explanation_v2,2026-06-24T10:02:13+09:00
v995_repro_from_explanation_v3,11740824,1174082435,10457945,12093830,1367,1392,tools/in,100,repro_from_explanation_v3,2026-06-24T10:28:01+09:00
