bin,total_avg,total_sum,total_min,total_max,avg_elapsed,max_elapsed,eval_set,total_cases,label,executed_at
v001,4657,465696,4640,4672,27,684,tools/in,100,baseline_exact,2026-04-26T15:49:45+09:00
v002_parallel_tmp,4901,490089,4879,4912,8,18,tools/in,100,parallel_tmp,2026-04-26T16:13:37+09:00
v003_direct_sid,4892,489232,4853,4912,9,19,tools/in,100,direct_sid,2026-04-26T16:23:17+09:00
v004_two_end,4893,489261,4853,4912,10,17,tools/in,100,two_end,2026-04-26T16:33:46+09:00
v005_parallel_two_end,4893,489336,4856,4914,15,65,tools/in,100,parallel_two_end,2026-04-26T16:42:53+09:00
v011_bucket_search,4912,491238,4904,4918,1260,1265,tools/in,100,bucket_search_fixed_state,2026-04-26T16:57:20+09:00
v011_bucket_search,4913,491279,4904,4919,1960,1968,tools/in,100,bucket_search_195,2026-04-26T17:02:22+09:00
v101pro_best,4918,491768,4911,4924,299,384,tools/in,100,cpp-port-tl1.90,2026-04-26T17:09:56+09:00
v006_goal_order_buffer,4899,489887,4877,4911,8,11,tools/in,100,goal_order_buffer_temp_gap,2026-04-26T17:17:31+09:00
v012_phase2_scan,4914,491421,4905,4920,1914,2052,tools/in,100,phase2_scan_from_v101,2026-04-26T17:25:43+09:00
v102pro_anneal,4918,491832,4911,4924,1907,1939,tools/in,100,anneal-v102-j1-tl1.90,2026-04-26T17:27:50+09:00
v201pro_hybrid,4922,492203,4906,4931,39,80,tools/in,100,,2026-04-26T17:32:33+09:00
v201pro_hybrid,4934,493358,4927,4938,545,679,tools/in,100,,2026-04-26T17:38:42+09:00
v022_packed_wave,4908,490804,4882,4923,1907,1914,tools/in,100,packed_wave_j1,2026-04-26T18:22:35+09:00
v211_mixed_scheduler,4934,493365,4927,4938,635,856,tools/in,100,mixed_b_only,2026-04-26T18:32:57+09:00
v301_bucket_hybrid,4934,493358,4927,4938,1422,1556,tools/in,100,bucket_v102dist_v201sort,2026-04-26T18:38:34+09:00
v212_ordered_distribution,4934,493365,4927,4938,1756,2537,tools/in,100,ordered_distribution_b2000,2026-04-26T18:39:49+09:00
v302_mixed_scheduler,4934,493378,4927,4938,768,975,tools/in,100,mixed_all_prefix_caps,2026-04-26T18:44:41+09:00
v212_ordered_distribution,4934,493365,4927,4938,1199,1710,tools/in,100,ordered_distribution_badfirst_b2000,2026-04-26T18:44:21+09:00
