bin,total_avg,avg_elapsed,total_sum,total_min,total_max,eval_set,total_cases
v002_lane_biased_bfs,7887.980000,0.000000,788798,867,30628,all,100
v003_simple_dfs,27197.940000,0.270000,2719794,7953,42792,all,100
v003_simple_dfs,27863.390000,1.960000,2786339,9134,42792,all,100
v004_multistart_dfs,37162.150000,2.000000,3716215,25156,43799,all,100
v004_multistart_dfs,33811.350000,0.480000,3381135,15669,41526,all,100
v005_optimized_multistart_dfs,33863.640000,0.420000,3386364,11627,41734,all,100
v006_suffix_lns_from_v003,26901.540000,0.440000,2690154,6578,41987,all,100
v007_middle_reroute_hc,58463.100000,1.960000,5846310,54948,61438,all,100
v008_v005_plus_middle_hc,58486.910000,2.000000,5848691,55364,61402,all,100
v009_middle_reroute_sa,58746.720000,1.960000,5874672,55389,61492,all,100
v010_middle_reroute_sa_score_only,60983.660000,1.970000,6098366,56993,63191,all,100
v011_middle_reroute_sa_score_prefix,60927.740000,2.000000,6092774,57622,63446,all,100
v012_middle_reroute_sa_fast,60957.210000,1.920000,6095721,57523,63008,all,100
v013_middle_reroute_sa_fastest,61200.560000,2.000000,6120056,57442,63471,all,100
v014_unbounded_reroute_sa,29096.960000,1.920000,2909696,8373,44950,all,100
v015_middle_reroute_sa_t300_e50,61909.710000,1.960000,6190971,59060,64849,all,100
v016_middle_reroute_sa_t300_e50_first_goal,59958.990000,1.960000,5995899,57189,63331,all,100
v015_middle_reroute_sa_t300_e50,61058.140000,1.960000,6105814,58328,63679,all,100
v016_middle_reroute_sa_no_bbox,60592.110000,1.830000,6059211,56926,63377,all,100
v016_middle_reroute_sa_no_bbox,59869.830000,2.000000,5986983,56366,62553,all,100
v101_sa_threshold_prune,61856.780000,1.960000,6185678,57291,64837,all,100
