bin,total_avg,total_sum,total_min,total_max,avg_elapsed,max_elapsed,eval_set,total_cases,label,executed_at
v001_theory_admission,47256006,4725600618,8998646,86395202,147,194,tools/in,100,theory-admission,2026-08-01T01:05:03+09:00
v002_temporal_packing,51987123,5198712301,9379241,94484963,450,1524,tools/in,100,temporal-packing,2026-08-01T01:24:19+09:00
v501_pro_shadow_packing,62136847,6213684662,24595040,97783659,464,1222,tools/in,100,shadow-packing,2026-08-01T01:28:40+09:00
v003_perimeter_slack,54353355,5435335504,10511515,98855829,561,1527,tools/in,100,perimeter-slack,2026-08-01T01:45:02+09:00
v004_component_aware_choice,62058377,6205837681,24595040,96088043,489,1218,tools/in,100,component-aware-choice,2026-08-01T01:55:54+09:00
v004_component_aware_choice,62108613,6210861294,24595040,97891288,448,1128,tools/in,100,component-aware-choice-margin-2pct,2026-08-01T02:00:42+09:00
v004_component_aware_choice,61995120,6199511965,24595040,96055945,455,1047,tools/in,100,component-aware-choice-margin-5pct,2026-08-01T02:01:57+09:00
v005_shape_diversity,62402292,6240229221,24590356,97625234,485,1207,tools/in,100,shape-diversity-cap20,2026-08-01T02:07:54+09:00
v005_move_rescue,63713999,6371399945,25021773,99294595,628,1233,tools/in,100,move-rescue,2026-08-01T02:14:09+09:00
v006_shape_move_combo,63875066,6387506639,25328968,96686619,729,1355,tools/in,100,shape-move-combo,2026-08-01T02:29:50+09:00
v007_plan_quality,63904848,6390484792,24901335,98717318,772,1354,tools/in,100,plan-quality-k800-a12,2026-08-01T02:38:25+09:00
v008_flexible_escape,66036608,6603660844,25445872,100983356,814,1347,tools/in,100,flexible-escape,2026-08-01T02:46:06+09:00
v010_budget_retune,66154932,6615493219,25445872,100742411,857,1366,tools/in,100,budget-retune,2026-08-01T02:55:15+09:00
v012_rollout_choice,66632207,6663220720,25427394,102001062,923,1433,tools/in,100,rollout-choice-k3a22,2026-08-01T03:18:55+09:00
v014_greedy_growth,66783368,6678336789,25425366,100436313,884,1359,tools/in,100,greedy-growth,2026-08-01T23:08:27+09:00
v015_quick_repack,66738256,6673825572,25874526,100866577,884,1361,tools/in,100,B-017 quick-first repack,2026-08-02T00:25:10+09:00
v016_low_r_slack2,66826651,6682665058,25425366,100920351,888,1363,tools/in,100,B-018 low-R slack2 relocation,2026-08-02T00:33:06+09:00
v017_normal_rollout,67106996,6710699581,25638305,102189946,936,1370,tools/in,100,B-020 normal placement rollout,2026-08-02T00:55:06+09:00
v018_no_move_boundary,63377535,6337753546,25412186,98071433,331,747,tools/in,100,B-025 no-move integrated boundary,2026-08-02T01:14:20+09:00
v019_no_move_growth_sa,63720607,6372060740,26089697,98457390,1269,1455,tools/in,100,B-026 no-move growth SA,2026-08-02T01:25:41+09:00
