bin,total_avg,total_sum,total_min,total_max,avg_elapsed,max_elapsed,eval_set,total_cases,label,executed_at
v001_baseline,315.03,31503,65,1029,9,38,tools/in,100,,2026-05-30T16:40:07+09:00
v002_multi_macro,309.76,30976,65,1011,12,56,tools/in,100,,2026-05-30T17:32:46+09:00
v003_macro_search,257.09,25709,59,798,531,1908,tools/in,100,,2026-05-30T17:54:16+09:00
v003_macro_search,257.14,25714,59,798,172,547,tools/in,100,,2026-05-30T17:57:20+09:00
v003_macro_search,247.17,24717,59,786,376,1359,tools/in,100,q_len7,2026-05-30T18:10:18+09:00
v101_pro_baseline,272.54,27254,62,917,1495,1870,tools/in,100,,2026-05-30T18:12:19+09:00
v003_macro_search,240.04,24004,59,751,807,1730,tools/in,100,q_len4_8_timecap,2026-05-30T18:19:06+09:00
v102_pro_beamsearch,279.84,27984,62,951,1734,1874,tools/in,100,,2026-05-30T18:18:55+09:00
v003_macro_search,239.85,23985,59,751,750,1718,tools/in,100,q_len8_first_timecap,2026-05-30T18:24:15+09:00
v103_pro_sa,306.81,30681,64,1205,1412,1706,tools/in,100,,2026-05-30T18:23:02+09:00
v003_macro_search,239.85,23985,59,751,652,1658,tools/in,100,v003_program_limit_165,2026-05-30T18:52:25+09:00
v003_macro_search,239.85,23985,59,751,681,1509,tools/in,100,v003_local_limit_150,2026-05-30T18:57:19+09:00
v004_macro_search_long,230.99,23099,59,685,1393,1510,tools/in,100,v004_len10_diverse,2026-05-30T19:07:40+09:00
v004_macro_search_long,231.12,23112,59,685,1411,1525,tools/in,100,v004_len10,2026-05-30T19:14:06+09:00
v004_macro_search_long,232.00,23200,59,658,1503,1509,tools/in,100,v004_len11,2026-05-30T19:15:22+09:00
v004_macro_search_long,233.51,23351,65,649,1507,1510,tools/in,100,v004_len12,2026-05-30T19:16:43+09:00
v005_scored_macro_search,226.88,22688,59,666,1503,1514,tools/in,100,v005_scored_len12,2026-05-30T19:32:06+09:00
v005_scored_macro_search,239.85,23985,59,751,623,1509,tools/in,100,v005_len8,2026-05-30T19:41:54+09:00
v005_scored_macro_search,234.20,23420,59,711,1049,1508,tools/in,100,v005_len9,2026-05-30T19:42:29+09:00
v005_scored_macro_search,230.22,23022,59,704,1357,1516,tools/in,100,v005_len10,2026-05-30T19:43:27+09:00
v005_scored_macro_search,228.40,22840,59,693,1483,1514,tools/in,100,v005_len11,2026-05-30T19:44:41+09:00
v005_scored_macro_search,227.03,22703,59,666,1505,1529,tools/in,100,v005_len12,2026-05-30T19:46:00+09:00
