bin,total_avg,total_sum,total_min,total_max,avg_elapsed,max_elapsed,eval_set,total_cases,label,executed_at
v001_baseline,207230000,20723000000,100000000,400000000,7,14,tools/in,100,baseline,2026-05-04T12:21:00+09:00
v002_likelihood_exhaustive,163945934,16394593368,1267105,1000000000,253,7098,tools/in,100,v002_likelihood_exhaustive,2026-05-04T13:17:42+09:00
v002_likelihood_exhaustive,158775036,15877503581,1267105,400000000,495,7064,tools/in,100,v002_likelihood_exhaustive_budget_reserve,2026-05-04T13:19:33+09:00
v003_likelihood_logp_cache,176909974,17690997428,1267105,1000000000,150,1977,tools/in,100,v003_late_sorted_1p9,2026-05-04T15:28:51+09:00
v004_mi_hillclimb,187962351,18796235124,330640,1000000000,255,1931,tools/in,100,v004_mi_hillclimb,2026-05-04T19:55:33+09:00
v004_mi_hillclimb,177749793,17774979311,436275,1000000000,235,1968,tools/in,100,v004_single_start_96moves,2026-05-04T20:26:44+09:00
v004_mi_hillclimb,176560514,17656051436,524957,1000000000,232,1935,tools/in,100,v004_add_remove_noimprove8,2026-05-04T20:43:19+09:00
v005_mi_precompute_delta,168371671,16837167119,524957,1000000000,170,1934,tools/in,100,v005_precompute_delta,2026-05-04T22:02:47+09:00
v006_mi_ordered_hillclimb,247465929,24746592857,193288,1000000000,416,1923,tools/in,100,v006_mi_ordered_hillclimb,2026-05-04T22:32:12+09:00
v007_mi_ordered_random_tiebreak,238916139,23891613890,256408,1000000000,409,1916,tools/in,100,v007_random_tiebreak_bucket,2026-05-04T22:44:51+09:00
v007_mi_ordered_random_tiebreak,256943958,25694395844,193288,1000000000,426,1919,tools/in,100,v007_fast_single_mi,2026-05-04T22:58:13+09:00
v007_mi_ordered_random_tiebreak,287359841,28735984140,359148,1000000000,461,1930,tools/in,100,v007_fast_single_mi_total_weight,2026-05-04T23:00:01+09:00
v008_particle_mi,463306540,46330653965,524957,1000000000,1377,2049,tools/in,100,v008_particle_mi_sampled,2026-05-05T00:31:53+09:00
v009_sampled_pool,669364588,66936458804,256408,1000000000,1661,1914,tools/in,100,v009_sampled_pool_k10000_protocol_guard,2026-05-05T13:33:51+09:00
v010_random_mi_pool,781611865,78161186494,193288,1000000000,1680,1958,tools/in,100,v010_random_mi_pool_k10000,2026-05-05T15:37:43+09:00
v011_random_mi_dynamic_k,757685040,75768504018,256408,1000000000,1667,1978,tools/in,100,v011_random_mi_dynamic_k_budget4e6,2026-05-05T16:29:35+09:00
v012_random_mi_posterior_cutoff,665746556,66574655562,314047,1000000000,1535,1916,tools/in,100,v012_random_mi_posterior_cutoff_0999,2026-05-05T17:10:55+09:00
v013_random_mi_posterior_cutoff_099,646176036,64617603561,313210,1000000000,1522,1971,tools/in,100,v013_random_mi_posterior_cutoff_099,2026-05-05T17:20:23+09:00
v014_active_cell_values,646106217,64610621729,313210,1000000000,1504,1914,tools/in,100,v014_active_cell_values,2026-05-05T17:39:31+09:00
v014_active_cell_values,654807729,65480772932,313210,1000000000,1478,1936,tools/in,100,v014_active_cell_values_all_candidates,2026-05-05T17:55:31+09:00
v014_active_cell_values,625154296,62515429598,313210,1000000000,2074,2879,tools/in,100,v014_active_cell_values_all_candidates_late285,2026-05-05T18:07:45+09:00
v901_reference_02_random_pool,347199750,34719975000,255061,1000000000,1922,2938,tools/in,100,v901_reference_02_random_pool,2026-05-05T18:10:48+09:00
v901_reference_02_random_pool,363029697,36302969724,255061,1000000000,1942,2997,tools/in,100,v901_reference_02_random_pool_ref_exact,2026-05-05T18:19:40+09:00
v015_giveup_dig_likely,244575246,24457524568,313210,1000000000,2058,2870,tools/in,100,v015_giveup_dig_likely,2026-05-05T18:54:57+09:00
v015_giveup_dig_likely,211538545,21153854541,313210,1000000000,2058,2862,tools/in,100,v015_giveup_known_zero_fix,2026-05-05T19:44:38+09:00
v015_giveup_dig_likely,187125516,18712551575,313210,1000000000,2063,2865,tools/in,100,v015_two_phase_shape_giveup,2026-05-05T23:23:56+09:00
v015_giveup_dig_likely,161860744,16186074410,313210,1000000000,2066,2890,tools/in,100,v015_exact_shape_always,2026-05-05T23:37:27+09:00
v015_giveup_dig_likely,150239482,15023948197,313210,1000000000,2061,2888,tools/in,100,v015_unique_shape_answer,2026-05-05T23:49:35+09:00
v016_mi_cap200,158585229,15858522888,305504,1000000000,1978,2894,tools/in,100,v016_mi_cap200,2026-05-06T01:16:38+09:00
v016_mi_cap200,291206288,29120628793,377713,1000000000,1916,2870,tools/in,100,v016_mi_cap200_pass1,2026-05-06T01:38:54+09:00
